Name,Manufacturer,Composition,INCI,Status,Expiration
Cosphaderm® Pentiol Natural,Cosphatec GmbH,100% Derived natural,Pentylene Glycol,approved,21/12/2026
Cosphaderm® Propanediol natural,Cosphatec GmbH,99.5% Derived natural 0.5% Water,"Propanediol, Aqua",approved,21/12/2026
Cosphaderm® Sodium  LAAS,Cosphatec GmbH,100% Derived natural,"Sodium Levulinate, Sodium Anisate",approved,21/12/2026
Cosphaderm® Sodium Hyaluronate,Cosphatec GmbH,100% Derived natural,Sodium Hyaluronate,approved,21/12/2026
Cosphaderm® Sodium pAS natural,Cosphatec GmbH,100% Derived natural,Sodium Anisate,approved,21/12/2026
Cosphaderm® X 34,Cosphatec GmbH,100% Natural,Xanthan Gum,approved,21/12/2026
Cosphaderm® X soft,Cosphatec GmbH,100% Natural,Xanthan Gum,approved,21/12/2026
Cosphagard® SA natural,Cosphatec GmbH,100% Derived natural,Salicylic Acid,approved,21/12/2026
Cosphaderm® AP RSPO MB,Cosphatec GmbH,100% Derived natural,Ascorbyl Palmitate,approved,22/12/2026
Cosphaderm® GeMix RSPO MB,Cosphatec GmbH,100% Derived natural,"Glyceryl Caprylate, Glyceryl Undecylenate",approved,22/12/2026
Cosphaderm® GMCY RSPO MB,Cosphatec GmbH,100% Derived natural,Glyceryl Caprylate,approved,22/12/2026
Cosphaderm® LA-T RSPO MB,Cosphatec GmbH,90% Derived natural 10% Water,"Aqua, Glycerin, Levulinic Acid, Sodium Levulinate",approved,22/12/2026
Cosphaderm® MultiMEG RSPO MB,Cosphatec GmbH,5% Natural 95% Derived natural,"Glyceryl Caprylate, Magnolia Officinalis Bark Extract, Pentylene Glycol",approved,22/12/2026
Cosphaderm® Propanediol natural RSPO MB,Cosphatec GmbH,99.5% Derived natural 0.5% Water,"Propanediol, Aqua",approved,22/12/2026
Jolee 7202,Oleon NV,100% Derived natural,Propylene Glycol Diheptanoate,approved,14/01/2027
Radia 7245,Oleon NV,100% Derived natural,Polyglycerol-3 Diisostearate,approved,14/01/2027
Radia 7373,Oleon NV,100% Derived natural,Triisostearin,approved,14/01/2027
Jolee 7750,Oleon NV,100% Derived natural,Isoamyl Laurate,approved,14/01/2027
Jolee 7777,Oleon NV,100% Derived natural,"Polyglyceryl-3 Polyricinoleate, Glyceryl Oleate Citrate, Polyglyceryl-3 Diisostearate",approved,14/01/2027
Jolee 7887,Oleon NV,100% Derived natural,"Polyglyceryl-3 Polyricinoleate, Sorbitan Isostearate",approved,14/01/2027
Jolee 7931,Oleon NV,90% Derived natural 10% Water,"Polyglyceryl-4 Caprate, Aqua",approved,14/01/2027
Radia 2376,Oleon NV,100% Derived natural,Triheptanoin,approved,14/01/2027
Radia 6122,Oleon NV,100% Natural,Helianthus annuus seed oil,approved,14/01/2027
Radia 7104,Oleon NV,100% Derived natural,Caprylic/Capric Triglyceride,approved,14/01/2027
Radia 7207,Oleon NV,100% Derived natural,Propylene Glycol Dicaprylate/Dicaprate,approved,05/02/2027
Radia 7500,Oleon NV,100% Derived natural,Cetyl Palmitate,approved,14/01/2027
Radia 7744,Oleon NV,100% Derived natural,Myristyl Myristate,approved,14/01/2027
Radiamuls MG 2918K,Oleon NV,100% Derived natural,Glyceryl Stearate,approved,14/01/2027
Radiasurf 7141,Oleon NV,100% Derived natural,"Glyceryl Stearate SE, Sodium Stearate",approved,14/01/2027
Radiasurf 7145,Oleon NV,100% Derived natural,Sorbitan Stearate,approved,14/01/2027
Radiasurf 7340,Oleon NV,100% Derived natural,Glyceryl Stearate,approved,14/01/2027
Radiasurf 7344,Oleon NV,100% Derived natural,Glyceryl Stearate,approved,14/01/2027
Radiasurf 7640,Oleon NV,100% Derived natural,"Glyceryl Stearate SE, Potassium Stearate",approved,14/01/2027
Ewalan 35-PA-S,H. Erhard Wagner GmbH,100% Natural,Lanolin,approved,14/01/2027
Revital Eyes,Active Concepts Srl,33% Natural 67% Water,"Water, Lactobacillus Ferment Lysate, Camellia Sinensis Leaf Extract, Punica Granatum Extract, Lactobacillus Ferment, Caffeine",approved,15/01/2027
Cosphaderm® Feel,"Inolex, Inc",100% Derived natural,Methylheptylglycerin,approved,18/01/2027
KANEKA Surfactin,Kaneka Europe Holding Company N.V.,100% Natural,Sodium Surfactin,approved,30/08/2025
AminoSensyl™ SC,"Inolex, Inc",100% Derived natural,"Brassicyl Valinate esylate, Brassica alcohol, Brassica glycerides",approved,20/01/2027
Emulsense™ HC,"Inolex, Inc",100% Derived natural,"""Brassicyl Isoleucinate esylate brassica alcohol""",approved,20/01/2027
Emulsense™,"Inolex, Inc",100% Derived natural,"""Brassicyl Isoleucinate esylate Brassica Alcohol""",approved,20/01/2027
Lexemul® 515 MB,"Inolex, Inc",100% Derived natural,glyceryl stearate,approved,20/01/2027
Lexemul® T MB,"Inolex, Inc",100% Derived natural,glyceryl stearate SE,approved,20/01/2027
LexFeel™ Natural,"Inolex, Inc",100% Derived natural,Heptyl undecylenate,approved,20/01/2027
LexFilm™ Sun Natural MB,"Inolex, Inc",100% Derived natural,Capryloyl Glycerin/Sebacic Acid Copolymer,approved,20/01/2027
Lexgard® GMCY MB,"Inolex, Inc",100% Derived natural,glyceryl caprylate,approved,20/01/2027
Lexgard® GC70 Natural MB,"Inolex, Inc",100% Derived natural,glyceryl caprylate,approved,20/01/2027
Lexol™ GT-865 MB,"Inolex, Inc",100% Derived natural,Caprylic/Capric Triglyceride,approved,20/01/2027
LipFeel™ Natural MB,"Inolex, Inc",100% Derived natural,Capryloyl Glycerin/Sebacic Acid Copolymer,approved,20/01/2027
SustOleo™ BA,"Inolex, Inc",100% Derived natural,brassica alcohol,approved,20/01/2027
SustOleo™ BG,"Inolex, Inc",100% Derived natural,brassica glycerides,approved,20/01/2027
SustOleo™ GMS,"Inolex, Inc",100% Derived natural,glyceryl stearate,approved,20/01/2027
SustOleo™ GMS-SE,"Inolex, Inc",100% Derived natural,glyceryl stearate SE,approved,20/01/2027
SustOleo™ MCT,"Inolex, Inc",100% Derived natural,Triheptanoin,approved,20/01/2027
SustOleo™ TSB,"Inolex, Inc",100% Derived natural,Hydrogenated rapeseed oil,approved,20/01/2027
Vellaplex™ MB,"Inolex, Inc",100% Derived natural,Capryloyl Glycerin/Sebacic Acid Copolymer,approved,20/01/2027
PhytoCellTec Md or,Mibelle AG Biochemistry,94% Derived natural 6% Water,"Malus Domestica Fruit Cell Culture Extract, Isomalt, Aqua",approved,20/01/2025
ACNILYS (001215),GREENTECH SA,4% Natural 86% Derived natural 10% Water,"Rhodomyrtus Tomentosa Fruit Extract, Propanediol, Aqua",approved,27/03/2026
Castor oil refined PhEur,OPW Ingredients GmbH,100% Natural,Ricinus communis seed oil,approved,22/01/2027
Almond oil cold pressed conventional,OPW Ingredients GmbH,100% Natural,Prunus amygdalus dulcis oil,approved,22/01/2027
Jojoba oil golden yellow conventional,OPW Ingredients GmbH,100% Natural,Simmondsia Chinensis Seed Oil,approved,22/01/2027
Jojoba oil refined conventional,OPW Ingredients GmbH,100% Natural,Simmondsia Chinensis Seed Oil,approved,22/01/2027
Evening primrose oil refined conventional,OPW Ingredients GmbH,100% Natural,Oenothera Biennis Oil,approved,22/01/2027
Almond oil cold pressed conventional PhEur,OPW Ingredients GmbH,100% Natural,Prunus amygdalus dulcis oil,approved,22/01/2027
BergaMuls ET 1,Berg + Schmidt GmbH & Co. KG,100% Natural,"beta-Glucan, Pectin",approved,25/01/2027
SKINHAIRGIUM BIO,LABORATOIRES EXPANSCIENCE,50% Natural (100% Organic) 50% Derived natural (49% Organic),"Lepidium Meyenii Root Extract, Maltodextrin",certified,29/05/2026
SustOleo™ TL,"Inolex, Inc",100% Derived natural,Trilaurin,approved,20/01/2027
Pair2Phase1,Schill + Seilacher GmbH,100% Derived natural,"Potassium Cetyl Phosphate, Behenyl Alcohol",approved,23/01/2027
Pair2Phase1 MB,Schill + Seilacher GmbH,100% Derived natural,"Potassium Cetyl Phosphate, Behenyl Alcohol",approved,11/03/2027
Pair2Phase2,Schill + Seilacher GmbH,60% Derived natural 40% Water,"Potassium Cetyl Phosphate, Oryza Sativa Bran Cera",approved,23/01/2027
Pair2Phase2 MB,Schill + Seilacher GmbH,60% Derived natural 40% Water,"Potassium Cetyl Phosphate, Oryza Sativa Bran Cera",approved,11/03/2027
Perlastan SC 25 NKW,Schill + Seilacher GmbH,25% Derived natural 75% Water,"Aqua, Disodium Cocoyl Glutamate, Sodium Cocoyl Glutamate",approved,13/10/2026
Perlastan SCG 38 CE,Schill + Seilacher GmbH,33% Derived natural 67% Water,"Aqua, Disodium Cocoyl Glutamate, Sodium Chloride, Sodium Glutamate, Sodium Cocoate",approved,10/08/2025
Perlastan SCG 38 PF,Schill + Seilacher GmbH,33% Derived natural 67% Water,"Aqua, Disodium Cocoyl Glutamate, Sodium Chloride, Sodium Glutamate, Sodium Cocoate",approved,23/01/2027
Perlastan SL,Schill + Seilacher GmbH,25% Derived natural 75% Water,"Aqua, Sodium Lauroyl Glutamate",approved,13/10/2026
Rheo2Green1 MB,Schill + Seilacher GmbH,39% Derived natural 61% Water,"Aqua, Lauryl Glucoside, Disodium Cocoyl Glutamate, Sodium Glutamate, Sodium Chloride, Sodium Cocoate",approved,23/01/2027
Rheo2Green2 MB,Schill + Seilacher GmbH,39% Derived natural 1.9% Nature-identical 59.1% Water,"Aqua, Lauryl Glucoside, Disodium Cocoyl Glutamate, Sodium Glutamate, Sodium Chloride, Sodium Cocoate, Sodium Benzoate, Potassium Sorbate",approved,23/01/2027
Copoazu Butter - für kosmetische Zwecke,All Organic Treasures GmbH,100% Natural,Theobroma Grandiflorum Seed Butter,approved,17/02/2027
Mandelöl kaltgepresst,All Organic Treasures GmbH,100% Natural,Prunus Amygdalus Dulcis Oil,approved,17/02/2027
StoppOx® Toco 70 Soy Mixed Tocopherols,All Organic Treasures GmbH,100% Natural,"Tocopherol, Helianthus Annuus Seed Oil",approved,17/02/2027
