Brand Name,Description
MEDIHEMP,"Deep Nature Project GmbH
Untere Hauptstraße 168
7122 Gols
Austria
www.deepnatureproject.com
www.medihemp.eu/en/

Deep Nature Project is the European market leader for CBD products, based in Austria. As an experienced manufacturer of organic hemp products, we have been working for many years to exploit and develop the potential of the traditional healing plant hemp in the best possible way. Using the latest technology, cutting-edge research and in collaboration with international partners, we thus develop holistic products for a sustainable, healthy lifestyle.

At Deep Nature Project, expertise meets passion. The result is effective products of outstanding quality with the best that hemp can give us. From sustainable cultivation in Austria, produced locally and certified organic.

Our passion is what drives us in our development. We do not stand still, but are constantly looking for new innovative ways to meaningfully expand our product range. Holistically thought and always effective. With hemp extracts, oils and teas to SuperHempFoods, we cover the area of internal use since 2015. So what could be more obvious than to now take our experience and expertise one step further and develop certified hemp cosmetics? The result: SATIVA BEAUTY. A care series that combines the most valuable active ingredients of the medicinal plant hemp in a product line for skin and hair."
MEDITERRANEA BIONATURA,"Fratelli Carli S.p.A Società Benefit 
Via Garessio 11
18100 Imperia
Italy
https://www.mediterranea.net/
https://www.mediterranea.it"
MEDITERRANEA NATURA VITAMINA C+,"Fratelli Carli S.p.A Società Benefit 
Via Garessio 11
18100 Imperia
Italy
https://www.mediterranea.net
https://www.mediterranea.it"
MELLIFICO!,"Imkerei Villiger
Risistrasse 17
5312 Döttingen
Switzerland
https://cremehonig.ch"
MELLOW NOIR,"Truly Natural Cosmetics GmbH
Paul-Klee-Straße 1
40822 Mettmann
Germany

www.mellownoir.com
www.mellownoir.fr"
MISHKI,"YANA COSMETICS SAC
Calle Pedro Venturo, 136
15048 Miraflores / Lima
Peru
www.mishkiperu.com"
MORICARE,"Moricare GmbH
Neue Straße 20
74653 Künzelsau
Germany
www.moricare4you.com"
MOROCCAN SPA,"Gold Cosmetic
Lot I3 N°33 Zone industrielle
Ouled Saleh Bouskoura
27180 CASABLANCA
Morocco
www.goldcosmetic.ma"
MY BIOLUXE,"DEYNIQUE COSMETICS GmbH
Bahnhofstrasse 59
56457 Westerburg 
Germany
www.deynique.de

100% Natural Cosmetics - My bioLUXE- pure nature and me -

Developed exclusively in cooperation with international skin scientists, the new organic cosmetics line focuses on your skin health.

My bioLUXE is well tested for compatibility and NATRUE-certified.

GUARANTEED 100% vegan, with carefully selected ingredients from controlled organic farming. With vegetable oils that contain valuable active ingredients. Highly effective and highly sustainable.

WITHOUT genetically modified organisms, silicones, parabens, mineral oils, microplastics and synthetic fragrances. And of course completely without animal testing (like all our cosmetic products).

The valuable base contains the pure active ingredients of aloe vera in the highest quality. How intensively anti-inflammatory, moisturizing and calming it has on and in the skin has long been confirmed by dermatologists."
N&B NATURAL IS BETTER,"N&B Natural is Better s.r.l
via Laterale Campo Sportivo
73025 Martano (LE)
Italy 
www.nbnaturalisbetter.com

Since 1988 our goal has been researching and producing natural solutions for Beauty care, Health care and Home care, to make a better life and to create positive emotions.
N&B can absolutely guarantee the pure quality of its products since it’s able to care every single step of the production cycle: starting from organic farming, organic raw materials extraction and getting to the finished product. 
A young and dynamic company creating innovative and high quality products to fully reach the customers satisfaction. 
Thanks to its “Tailor – made concept” N&B is specialized to customize the products with private label. 
N&B is furthermore certified UNI EN ISO 9001 and fully respects the sustainability concept in all processes.
N&B has received a significant recognition becoming a Certified B Corp Company. It is an extraordinary movement matching with strict social and environmental standards and contributing to the creation of a new business model as a force for good, and giving the world a better future."
NAKT,"nakt Stoffschmiede GmbH
Stoffschmiede GmbH
Robert-Bosch Straße 7
64287 Darmstadt
Germany
https://www.nakt.eu"
